Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,1274.77,852.93,825.14,648.42,122.83
0.4,D2,1348.64,853.38,809.39,663.66,140.03
100,D1,762.25,344.42,347.6,154.16,99.22
100,D2,678.3,380.69,385.27,157.95,69.99
2,D1,1717.38,942.48,910.95,661.53,166.15
2,D2,1391.41,1006.52,975.5,666.26,150.43
20,D1,1195.32,906.06,903.2,542.97,133.72
20,D2,1899.09,1052.24,1006.53,803.8,183.28
50,D1,614.23,322.22,314.93,119.13,94.63
50,D2,754.84,305.01,301.44,109.75,117.18
Control,D1,1532.02,904.96,891.53,640.55,124.28
Control,D2,1753.26,1114.8,1089.04,723.67,168.8
Positive_Control,D1,3006.58,1404.0,1363.37,127.79,442.71
Positive_Control,D2,1811.63,1028.0,1018.85,183.09,194.47
