Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,100.0,97.23,99.68,68.43,5.43
0.4,D2,100.0,97.32,99.73,71.19,5.92
100,D1,99.65,90.73,91.92,64.74,6.87
100,D2,99.66,93.9,95.69,75.55,5.26
2,D1,100.0,95.2,99.77,56.36,9.45
2,D2,100.0,94.94,99.59,56.07,9.96
20,D1,100.0,94.26,99.65,46.54,11.57
20,D2,99.99,92.99,98.63,54.49,11.24
50,D1,99.82,87.69,89.69,60.68,8.52
50,D2,98.81,89.4,91.12,70.57,6.66
Control,D1,100.0,98.92,99.89,84.42,2.76
Control,D2,100.0,98.02,99.75,82.23,3.86
Positive_Control,D1,99.97,73.07,75.35,11.19,21.68
Positive_Control,D2,99.99,83.36,94.37,18.54,22.72
