Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,20.02,16.38,16.29,14.14,1.18
0.4,D2,20.43,16.36,16.04,14.23,1.28
100,D1,15.78,10.01,10.25,7.15,1.53
100,D2,14.14,10.72,10.86,7.1,1.12
2,D1,23.29,17.12,16.88,14.29,1.5
2,D2,21.2,17.84,17.65,13.87,1.53
20,D1,19.67,16.86,16.79,12.15,1.41
20,D2,23.55,17.94,17.83,14.58,1.5
50,D1,13.33,9.65,9.63,5.5,1.59
50,D2,14.48,9.33,9.54,5.13,1.94
Control,D1,21.23,16.86,16.78,14.11,1.14
Control,D2,23.54,18.64,18.45,15.4,1.47
Positive_Control,D1,31.4,20.72,20.79,5.81,3.62
Positive_Control,D2,23.34,17.7,17.94,7.04,1.96
