Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,11723.46,6725.21,6641.76,4846.28,973.18
0.4,D2,10137.34,6928.08,6715.71,5756.36,864.46
100,D1,1863.18,587.34,564.25,119.01,249.28
100,D2,1407.4,721.35,712.2,208.4,183.11
2,D1,14167.88,7343.47,7063.92,5470.27,1342.22
2,D2,12088.75,7721.03,7537.16,6209.46,927.69
20,D1,10774.55,7047.06,6983.55,3014.81,1077.14
20,D2,13949.05,8075.43,8040.41,6043.25,1007.98
50,D1,2097.47,551.72,541.3,139.79,257.24
50,D2,1695.36,479.19,435.21,105.5,265.14
Control,D1,9365.59,7123.17,7040.89,5597.8,643.24
Control,D2,13228.06,8001.6,8079.39,5959.45,887.61
Positive_Control,D1,30276.88,16670.8,15393.01,4588.83,6122.76
Positive_Control,D2,14378.54,9070.22,8407.13,4388.35,2005.34
