Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,8.06,0.58,0.04,0.0007,1.26
0.4,D2,7.19,0.63,0.04,0.0004,1.51
100,D1,3.49,0.87,0.79,0.03,0.61
100,D2,2.13,0.58,0.45,0.03,0.45
2,D1,11.19,1.08,0.04,0.0004,2.28
2,D2,12.76,1.35,0.07,0.0006,2.89
20,D1,17.06,1.42,0.05,0.0003,3.17
20,D2,15.41,1.87,0.26,0.003,3.32
50,D1,3.36,1.12,0.98,0.01,0.69
50,D2,2.45,0.92,0.81,0.12,0.49
Control,D1,3.57,0.22,0.02,0.0005,0.6
Control,D2,4.35,0.44,0.04,0.0001,0.93
Positive_Control,D1,44.05,9.57,8.76,0.01,8.72
Positive_Control,D2,34.38,5.93,1.32,0.002,9.19
