Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,31.57,2.77,0.32,0.004,5.43
0.4,D2,28.81,2.68,0.27,0.003,5.92
100,D1,35.26,9.27,8.08,0.35,6.87
100,D2,24.45,6.1,4.31,0.34,5.26
2,D1,43.64,4.8,0.23,0.003,9.45
2,D2,43.93,5.06,0.41,0.003,9.96
20,D1,53.46,5.74,0.35,0.002,11.57
20,D2,45.51,7.01,1.37,0.01,11.24
50,D1,39.32,12.31,10.31,0.18,8.52
50,D2,29.43,10.6,8.88,1.19,6.66
Control,D1,15.58,1.08,0.11,0.003,2.76
Control,D2,17.77,1.98,0.25,0.0007,3.86
Positive_Control,D1,88.81,26.93,24.65,0.03,21.68
Positive_Control,D2,81.46,16.64,5.63,0.01,22.72
