Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,37.57,6.72,1.77,0.0,9.34
0.4,D2,40.8,6.15,1.45,0.0,9.88
100,D1,10.8,4.1,3.87,0.0,2.17
100,D2,7.9,3.15,3.06,0.0,1.8
2,D1,39.83,7.07,1.13,0.0,10.29
2,D2,59.02,10.76,2.18,0.0,15.38
20,D1,54.18,9.67,1.61,0.0,13.81
20,D2,62.24,13.6,5.89,0.0,15.91
50,D1,12.09,5.06,5.08,0.0,2.44
50,D2,8.38,4.23,4.03,0.32,1.83
Control,D1,27.57,3.14,0.64,0.0,5.93
Control,D2,29.99,5.33,1.29,0.0,7.92
Positive_Control,D1,105.94,36.67,38.46,0.0,20.12
Positive_Control,D2,85.46,27.26,23.54,0.0,26.13
