Sample,Replica,Maximum,Mean,Median,Minimum,Standard Deviation
0.4,D1,10.89,0.62,0.004,0.0,1.61
0.4,D2,9.17,0.68,0.003,0.0,1.82
100,D1,3.81,0.51,0.3,0.0,0.69
100,D2,1.93,0.28,0.13,0.0,0.37
2,D1,17.38,1.24,0.002,0.0,3.13
2,D2,20.82,1.92,0.01,0.0,4.58
20,D1,25.69,1.99,0.01,0.0,4.9
20,D2,28.33,2.55,0.09,0.0,5.4
50,D1,4.75,0.8,0.49,0.0,0.9
50,D2,2.16,0.54,0.35,0.01,0.5
Control,D1,4.29,0.19,0.0008,0.0,0.65
Control,D2,5.33,0.4,0.003,0.0,1.02
Positive_Control,D1,88.21,13.56,9.76,0.0,14.93
Positive_Control,D2,62.83,9.88,1.43,0.0,16.59
